keyword;sentiment
nicely;positive
numbertag ++;positive
on fire;positive
optimistic;positive
outperform;positive
outperformed;positive
outperforming;positive
outperforms;positive
oversold;positive
overweight;positive
ownership up;positive
partner;positive
partnered;positive
partnering;positive
partners;positive
partnership;positive
partnerships;positive
patience;positive
patient;positive
patients;positive
perk;positive
perking;positive
pick up;positive
picked up;positive
picking up;positive
picks up;positive
pocket pivot;positive
positive;positive
powder;positive
power;positive
powerful;positive
promising;positive
pt raised;positive
purchase;positive
purchased;positive
purchases;positive
purchasing;positive
quiet;positive
quietly;positive
reiterates buy;positive
repurchase;positive
reward;positive
rewarded;positive
rewarding;positive
rewards;positive
rich;positive
richer;positive
rise;positive
rocket;positive
rocket ride;positive
rocketing;positive
rockets;positive
rocking;positive
run baby;positive
runner;positive
runners;positive
shake out;positive
shaken out;positive
shakeout;positive
shaking out;positive
short squeeeze;positive
short squeeze;positive
short squeezes;positive
short squeezing;positive
short trap;positive
short-squeeze;positive
shortie;positive
shorties;positive
shorts;positive
shorty;positive
sky rocket;positive
skyrocket;positive
skyrocketing;positive
skyrockets;positive
smile;positive
smiles;positive
smiling;positive
solid;positive
squeeze;positive
squeezed;positive
squeezes;positive
squeezing;positive
stellar;positive
still undervalued;positive
stop bottomed-out;positive
strong;positive
stronger;positive
strongly;positive
success;positive
successful;positive
successfully;positive
supersqueeze;positive
surge;positive
surged;positive
surges;positive
surging;positive
sweet;positive
take off;positive
takeoff;positive
takeover;positive
taking off;positive
target raised;positive
technical breakout;positive
thank;positive
thanks;positive
thx;positive
to north;positive
took off;positive
trading up;positive
tremendous;positive
triple bottom;positive
undervalue;positive
undervalued;positive
up;positive
up north;positive
up up;positive
upgrade;positive
upgraded;positive
upgrades;positive
upgrading;positive
uppp;positive
ups;positive
upside;positive
uptick;positive
uptrend;positive
upward;positive
upwards;positive
very solid;positive
wahoo;positive
weak hands;positive
welcome aboard;positive
win;positive
winner;positive
winners;positive
winning;positive
wins;positive
won;positive
wonderful;positive
woo;positive
woohoo;positive
woot;positive
yes yes;positive
abandon;negative
abandon ship;negative
abandoned;negative
abandoning;negative
abort;negative
abysmal;negative
abyss;negative
arrest;negative
arrested;negative
arrogance;negative
arrogant;negative
artificial;negative
artificially;negative
ascending wedge;negative
ashamed;negative
avoid;negative
avoidance;negative
avoided;negative
avoiding;negative
avoids;negative
awful;negative
awfully;negative
bad;negative
badly;negative
bag holder;negative
bag holders;negative
bag holding;negative
bagholder;negative
bagholders;negative
bail;negative
bail out;negative
bailed;negative
bailing;negative
bailout;negative
bailouts;negative
bails;negative
bait;negative
bankrupt;negative
bankruptcies;negative
bankruptcy;negative
banned;negative
bbear;negative
be careful;negative
be cautious;negative
bear;negative
bearish;negative
bearish divergence;negative
bearish engulfing;negative
bearish pattern;negative
bearishness;negative
below;negative
beware;negative
bias;negative
biased;negative
blame;negative
blaming;negative
bleed;negative
bleeder;negative
bleeding;negative
bleeds;negative
blind;negative
blinded;negative
blinders;negative
blindness;negative
bloated;negative
bloated pig;negative
blood;negative
blood bath;negative
bloodbath;negative
bloodshed;negative
bloody;negative
breach;negative
breached;negative
break below;negative
break down;negative
break lower;negative
break support;negative
break under;negative
breakdown;negative
breakdowns;negative
breaking below;negative
breaking down;negative
breaking lower;negative
breaking support;negative
breaking wedge;negative
breaks below;negative
breaks down;negative
breaks support;negative
breaks under;negative
broke;negative
broke down;negative
broken;negative
brutal;negative
bubble;negative
bubbles;negative
bug;negative
bugs;negative
buh;negative
bull trap;negative
bull traps;negative
bulls;negative
bullshit;negative
buried;negative
burn;negative
burned;negative
burning;negative
burns;negative
burnt;negative
burst;negative
bursting;negative
cancel;negative
canceled;negative
cancelled;negative
capitulate;negative
capitulation;negative
capped;negative
careful;negative
carefull;negative
carnage;negative
cashtag bye;negative
cashtag covered;negative
cashtag covering;negative
cashtag goodbye;negative
cashtag sorry;negative
caution;negative
cautious;negative
cautiously;negative
chop;negative
choppy;negative
class action;negative
cliff;negative
cliffs;negative
coffin;negative
collapse;negative
collapsed;negative
collapses;negative
collapsing;negative
correcting;negative
correction;negative
corrections;negative
corrective;negative
corrupt;negative
corrupted;negative
corruption;negative
costly;negative
cough;negative
crack;negative
cracked;negative
cracking;negative
cracks;negative
crap;negative
crapped;negative
crapple;negative
crappy;negative
crapshoot;negative
crash;negative
crashed;negative
crashes;negative
crashing;negative
crashy;negative
crime;negative
crimes;negative
criminal;negative
criminals;negative
crisis;negative
critical;negative
crook;negative
crooked;negative
crooks;negative
cruel;negative
crumble;negative
crumbles;negative
crumbling;negative
crummy;negative
crush;negative
crushed;negative
curse;negative
cursed;negative
cut;negative
cuts;negative
cutting;negative
cypher;negative
damage;negative
damaged;negative
damages;negative
damaging;negative
danger;negative
dangerous;negative
dangerously;negative
dangers;negative
dangerzone;negative
dark;negative
darkness;negative
dead;negative
dead cat;negative
dead money;negative
deadly;negative
death;negative
death cross;negative
debt;negative
debts;negative
decay;negative
decaying;negative
decline;negative
declined;negative
declines;negative
declining;negative
decrease;negative
decreased;negative
decreases;negative
decreasing;negative
default;negative
defaulted;negative
defaulting;negative
defaults;negative
deficit;negative
deflate;negative
deflated;negative
deflates;negative
deflating;negative
deflation;negative
deflationary;negative
delist;negative
delisted;negative
delisting;negative
delusion;negative
delusional;negative
denial;negative
denied;negative
depression;negative
descending;negative
descent;negative
destroy;negative
destroyed;negative
destroying;negative
destroys;negative
destruction;negative
deteriorate;negative
deteriorating;negative
deterioration;negative
devaluation;negative
devil;negative
die;negative
died;negative
dies;negative
dillution;negative
dilute;negative
diluted;negative
dilutes;negative
diluting;negative
dilution;negative
dilutions;negative
dilutive;negative
disappoint;negative
disappointed;negative
disappointing;negative
disappointment;negative
disappoints;negative
disaster;negative
disastrous;negative
disgusting;negative
dislike;negative
dive;negative
dived;negative
dives;negative
diving;negative
doomed;negative
double top;negative
down;negative
downfall;negative
downgrade;negative
downgraded;negative
downgrades;negative
downgrading;negative
downhill;negative
downs;negative
downside;negative
downtrend;negative
downturn;negative
downward;negative
downwards;negative
drag;negative
dragging;negative
drift;negative
drifting;negative
drip;negative
drop;negative
dropped;negative
dropping;negative
drops;negative
dump;negative
dumped;negative
dumpers;negative
dumping;negative
dumps;negative
duped;negative
dying;negative
earnings miss;negative
emojineg;negative
empty;negative
eps miss;negative
erased;negative
euphoria;negative
euphoric;negative
evil;negative
exhausted;negative
exhaustion;negative
exit;negative
exited;negative
exiting;negative
exits;negative
expensive;negative
expiration;negative
expose;negative
exposed;negative
fade;negative
faded;negative
fader;negative
fades;negative
fading;negative
fail;negative
failed;negative
failing;negative
fails;negative
failure;negative
failures;negative
fake;negative
fake-out;negative
faked;negative
fakeout;negative
fakes;negative
faking;negative
fall;negative
fallen;negative
fallin;negative
falling;negative
falll;negative
fallout;negative
falls;negative
faltering;negative
farne;negative
fart;negative
farted;negative
farting;negative
farts;negative
fell;negative
fishy;negative
flash crash;negative
flawed;negative
flood;negative
flooded;negative
flooding;negative
flooring;negative
flop;negative
flops;negative
fluff;negative
fluffy;negative
flush;negative
flushed;negative
flushes;negative
flushing;negative
fool;negative
fooled;negative
fooling;negative
foolish;negative
fools;negative
fraud;negative
frauds;negative
fraudulent;negative
free fall;negative
freefall;negative
gambler;negative
gamblers;negative
game over;negative
gap down;negative
garbage;negative
get caught;negative
get crushed;negative
get hammered;negative
get killed;negative
get out;negative
getting caught;negative
getting crushed;negative
getting hammered;negative
getting killed;negative
getting out;negative
got killed;negative
got out;negative
grave;negative
gravestone;negative
gravity;negative
guilty;negative
hammered;negative
hanging man;negative
hate;negative
hated;negative
hates;negative
head fake;negative
headfake;negative
headwind;negative
headwinds;negative
holding bag;negative
hopeless;negative
horrendous;negative
horrible;negative
horrid;negative
horrific;negative
horror;negative
hurt;negative
hurting;negative
hurts;negative
hype;negative
hyped;negative
hypes;negative
hyping;negative
illusion;negative
implosion;negative
incompetent;negative
inflate;negative
inflated;negative
inflating;negative
insider selling;negative
irrational;negative
irrationality;negative
irrationally;negative
junk;negative
junks;negative
killed;negative
law suit;negative
law suits;negative
lawsuit;negative
lawsuits;negative
layoffs;negative
leg down;negative
liar;negative
liars;negative
lie;negative
lied;negative
lies;negative
liquidate;negative
liquidated;negative
liquidating;negative
liquidation;negative
lock up;negative
lock-up;negative
lockout;negative
lockup;negative
lod;negative
lods;negative
lofty;negative
longs;negative
lookout;negative
loose;negative
looser;negative
loosers;negative
looses;negative
loosing;negative
lose;negative
loser;negative
losers;negative
loses;negative
losing;negative
loss;negative
losses;negative
lost;negative
lousy;negative
low;negative
lower;negative
lowered;negative
lowering;negative
lowers;negative
lowest;negative
lows;negative
lumber;negative
lure;negative
lying;negative
massacre;negative
mediocre;negative
meh;negative
melt;negative
meltdown;negative
melting;negative
mess;negative
minus;negative
misery;negative
miss earnings;negative
miss estimates;negative
missed earnings;negative
missed eps;negative
naive;negative
nasty;negative
neckline;negative
neg;negative
negative;negative
negtag_able;negative
negtag_bode;negative
negtag_bottom;negative
negtag_bounce;negative
negtag_break;negative
negtag_bullish;negative
negtag_buy;negative
negtag_buyers;negative
negtag_buying;negative
negtag_buyout;negative
negtag_catalysts;negative
negtag_chance;negative
negtag_convinced;negative
negtag_deal;negative
negtag_deserve;negative
negtag_enough;negative
negtag_future;negative
negtag_good;negative
negtag_growth;negative
negtag_hold;negative
negtag_holding;negative
negtag_hope;negative
negtag_impressed;negative
negtag_income;negative
negtag_interest;negative
negtag_interested;negative
negtag_invest;negative
negtag_investing;negative
negtag_jump;negative
negtag_like;negative
negtag_likely;negative
negtag_liking;negative
negtag_pos;negative
negtag_position;negative
negtag_positions;negative
negtag_positive;negative
negtag_profit;negative
negtag_profitable;negative
negtag_profits;negative
negtag_rally;negative
negtag_ready;negative
negtag_real;negative
negtag_recover;negative
negtag_revenue;negative
negtag_support;negative
negtag_sustainable;negative
negtag_touch;negative
negtag_touching;negative
negtag_trust;negative
negtag_try;negative
negtag_turn;negative
nightmare;negative
nightmares;negative
omg;negative
oops;negative
ouch;negative
over extended;negative
over value;negative
overbought;negative
overextended;negative
overhyped;negative
overpaid;negative
overprice;negative
overpriced;negative
overvalue;negative
overvalued;negative
pain;negative
painful;negative
pathetic;negative
penny stock;negative
penny stocks;negative
perma-bulls;negative
permabulls;negative
pig;negative
piggies;negative
piggy;negative
pigs;negative
plummet;negative
plummeted;negative
plummeting;negative
plummets;negative
plunge;negative
plunged;negative
plunges;negative
plunging;negative
ponzi;negative
poor;negative
poorer;negative
poorly;negative
problem;negative
problems;negative
pump;negative
pumped;negative
pumper;negative
pumpers;negative
pumpin;negative
pumping;negative
pumpndump;negative
pumps;negative
put;negative
put option;negative
put options;negative
put position;negative
put spread;negative
put spreads;negative
puts;negative
ran out;negative
re-shorted;negative
recession;negative
red;negative
reject;negative
rejected;negative
rejecting;negative
rejection;negative
rejects;negative
reshort;negative
retrace;negative
retracement;negative
reverse;negative
reversed;negative
reverses;negative
reversing;negative
rig;negative
rigged;negative
rigs;negative
risk;negative
riskier;negative
risks;negative
risky;negative
rofl;negative
roll over;negative
rolling over;negative
rollover;negative
run out;negative
running out;negative
sad;negative
sadly;negative
sarcasm;negative
sarcastic;negative
scam;negative
scammed;negative
scammer;negative
scammers;negative
scamming;negative
scams;negative
screw;negative
screwed;negative
screwing;negative
screws;negative
sell;negative
sell off;negative
sell out;negative
selling;negative
selloff;negative
sellout;negative
sells;negative
shame;negative
shameless;negative
shark;negative
sharks;negative
sheep;negative
sheeple;negative
shit;negative
shits;negative
shitty;negative
shooting star;negative
short;negative
shortable;negative
shorted;negative
shortfall;negative
shortin;negative
shorting;negative
sink;negative
sinking;negative
sinks;negative
slam;negative
slammed;negative
slamming;negative
slams;negative
slaughter;negative
slaughtered;negative
slaughterhouse;negative
slaughtering;negative
slide;negative
slides;negative
sliding;negative
sold;negative
sold off;negative
sold out;negative
sorry;negative
stay away;negative
struggle;negative
struggled;negative
struggles;negative
struggling;negative
suck;negative
sucked;negative
sucker;negative
suckers;negative
sucking;negative
sucks;negative
suffer;negative
suffered;negative
suffering;negative
suffers;negative
sunk;negative
swing sell;negative
take profit;negative
take profits;negative
tank;negative
tanked;negative
tanking;negative
tanks;negative
timber;negative
toast;negative
toasted;negative
toilet;negative
topped;negative
topping;negative
toppy;negative
toxic;negative
trap;negative
trapped;negative
trapping;negative
traps;negative
trash;negative
trashed;negative
trashing;negative
triple top;negative
trouble;negative
troubled;negative
troubles;negative
troubling;negative
tumble;negative
tumbled;negative
tumbles;negative
tumbling;negative
ugh;negative
ugliest;negative
ugly;negative
uh;negative
uh oh;negative
under;negative
under numbertag;negative
underperform;negative
underperformance;negative
underperformed;negative
underperforming;negative
underweight;negative
unload;negative
unloaded;negative
unloading;negative
unloads;negative
unsustainable;negative
warn;negative
warned;negative
warning;negative
warnings;negative
warns;negative
waste;negative
wasted;negative
wasting;negative
watch out;negative
waterfall;negative
weak;negative
weaker;negative
weakest;negative
weakness;negative
what mess;negative
wipe;negative
wiped;negative
worse;negative
worst;negative
yikes;negative
